"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Jew's ear, (pepeao), raw","25","0.48","6.75","0.04"
"Jicama, raw","38","0.72","8.82","0.09"
"JIMMY DEAN, Sausage, Egg, and Cheese Breakfast Biscuit, frozen, unprepared","328","9.29","21.07","22.9"
"Johnnycake","277","7.98","43.82","7.46"
"Juice, apple and grape blend, with added ascorbic acid","50","0.16","12.46","0.12"
"Jujube, Chinese, fresh, dried","281","4.72","72.52","0.5"
"Jujube, raw","79","1.2","20.23","0.2"
"Jute, potherb, cooked, boiled, drained, with salt","37","3.68","7.29","0.2"
"Jute, potherb, raw","34","4.65","5.8","0.25"
"Kale, fresh, cooked, fat added","69","3.05","4.61","4.29"
"Kale, frozen, cooked, boiled, drained, with salt","36","2.94","5.3","1.21"
"Kamikaze","187","0.06","6.93","0.07"
"Kanpyo, (dried gourd strips)","258","8.58","65.03","0.56"
"Keebler, Keebler Chocolate Graham SELECTS","465","7.1","71.8","16.6"
"Kefir","52","3.59","7.48","0.96"
"Kefir, lowfat, plain, LIFEWAY","43","3.79","4.77","1.02"
"Kefir, lowfat, strawberry, LIFEWAY","62","3.39","10.2","0.9"
"Keikitos (muffins), Latino bakery item","467","6.81","53.16","25.24"
"Ketchup, restaurant","117","1.11","26.8","0.55"
"KFC, biscuit","358","7.5","43.55","17.05"
"KFC, Coleslaw","144","0.91","15.65","8.64"
"KFC, Crispy Chicken Strips","274","20.25","13.66","15.42"
"KFC, Fried Chicken, EXTRA CRISPY, Breast, meat and skin with breading","268","21.24","8.47","16.55"
"KFC, Fried Chicken, EXTRA CRISPY, Breast, meat only, skin and breading removed","153","27.25","0.25","4.82"
"KFC, Fried Chicken, EXTRA CRISPY, Drumstick, meat and skin with breading","274","20.62","7.96","17.73"
"KFC, Fried Chicken, EXTRA CRISPY, Drumstick, meat only, skin and breading removed","170","25.9","0","7.43"
"KFC, Fried Chicken, EXTRA CRISPY, Skin and Breading","464","10.96","22.54","36.61"
"KFC, Fried Chicken, EXTRA CRISPY, Thigh, meat and skin with breading","309","17.17","10.3","22.14"
"KFC, Fried Chicken, EXTRA CRISPY, Thigh, meat only, skin and breading removed","179","22.41","0","9.96"
"KFC, Fried Chicken, EXTRA CRISPY, Wing, meat and skin with breading","337","20.8","11.66","23"
"KFC, Fried Chicken, EXTRA CRISPY, Wing, meat only, skin and breading removed","236","28.67","2.97","12.13"
"KFC, Fried Chicken, ORIGINAL RECIPE, Breast, meat and skin with breading","231","21.94","6.28","13.11"
"KFC, Fried Chicken, ORIGINAL RECIPE, Drumstick, meat and skin with breading","239","22.3","5.39","14.22"
"KFC, Fried Chicken, ORIGINAL RECIPE, Skin and Breading","384","14.17","18.79","28.01"
"KFC, Fried Chicken, ORIGINAL RECIPE, Thigh, meat and skin with breading","269","18.9","8.46","17.73"
"KFC, Fried Chicken, ORIGINAL RECIPE, Wing, meat and skin with breading","297","21.7","9.93","18.9"
"KFC, Fried Chicken, ORIGINAL RECIPE, Wing, meat only, skin and breading removed","216","28.65","1.76","10.49"
"KFC, Popcorn Chicken","351","17.67","21.18","21.74"
"Kibby, Puerto Rican style","168","8.76","17.99","7.2"
"Kidney","157","27.05","0","4.61"
"Kidney beans and brown rice","155","5.81","23.02","4.63"
"Kidney beans and rice, from fast food / restaurant","179","5.72","23.17","7.07"
"Kidney beans and white rice","158","5.9","23.91","4.29"
"Kidney beans with meat","173","10.46","18.33","6.78"
"Kidney beans, from canned, fat added","186","8.37","23.79","6.82"
"Kidney beans, from canned, no added fat","135","8.7","24.72","0.6"
"Kidney beans, from dried, fat added","177","8.06","21.19","6.97"
"Kidney beans, from dried, no added fat","126","8.62","22.66","0.5"
"Kidney beans, from fast food / restaurant","195","7.81","20.54","9.46"
"Kielbasa, fully cooked, grilled","337","12.45","5.03","29.68"
"Kielbasa, fully cooked, unheated","325","10.84","3.72","29.63"
"Kielbasa, Polish, turkey and beef, smoked","226","13.1","3.9","17.6"
"Kimchi","15","1.1","2.4","0.5"
"Kiwi fruit, raw","64","1.06","14","0.44"
"Kiwifruit, green, raw","58","1.06","14","0.44"
"Kiwifruit, ZESPRI SunGold, raw","63","1.02","15.79","0.28"
"Knackwurst, knockwurst, pork, beef","307","11.1","3.2","27.7"
"Knish","345","10.51","31.92","19.73"
"Knockwurst","307","11.1","3.2","27.7"
"Kohlrabi, cooked","51","1.72","6.26","2.75"
"Kohlrabi, cooked, boiled, drained, with salt","29","1.8","6.69","0.11"
"Korean dressing or marinade","348","3.17","12.66","31.41"
"KRAFT BREAKSTONE'S FREE Fat Free Sour Cream","91","4.7","15.1","1.3"
"KRAFT BREAKSTONE'S Reduced Fat Sour Cream","152","4.5","6.5","12"
"KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product","215","16.3","16.2","9.5"
"KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce","276","12","9.2","21"
"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","377","6.1","79.8","3.7"
"KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product","148","22.7","11.7","1"
"KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product","222","19.6","11.8","10.6"
"KRAFT VELVEETA Pasteurized Process Cheese Spread","303","16.3","9.8","22"
"Kraft, Stove Top Stuffing Mix Chicken Flavor","381","12.6","73.1","4.1"
"Kumquat, raw","71","1.88","15.9","0.86"
"Kumquats, raw","71","1.88","15.9","0.86"
"Kung Pao beef","216","17.93","4.55","14.44"
"Kung pao chicken","129","9.76","6.87","6.98"
"Kung Pao pork","219","16.89","4.55","14.76"
"Kung Pao shrimp","173","13.94","5.32","10.74"
"Ladoo, round ball","411","6.92","46.74","22.25"
"Lamb or mutton and noodles with gravy","141","6.8","15.63","5.48"
"Lamb or mutton and potatoes with gravy","129","5.13","12.53","6.46"
"Lamb or mutton and potatoes with tomato-based sauce","126","5.26","12.48","6.22"
"Lamb or mutton loaf","192","14.05","7.44","11.58"
"Lamb or mutton with gravy","219","17.29","1.58","15.37"
"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy","133","5.02","15.2","5.5"
"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","136","5.05","16.34","5.51"
"Lamb shish kabob with vegetables, excluding potatoes","162","12.02","5.06","10.28"
"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, cooked","256","24.52","0","16.82"
"Lamb, Australian, imported, fresh, external fat, cooked","538","16.9","0","52.3"
"Lamb, Australian, imported, fresh, external fat, raw","487","12.59","0","48.5"
"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, cooked, braised","165","27.5","0","5.22"
"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, raw","123","20.83","0","3.81"
"Lamb, Australian, imported, fresh, leg, bottom, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted","219","27.54","0","12.04"
"Lamb, Australian, imported, fresh, leg, bottom, boneless, separable lean and fat, trimmed to 1/8"" fat, raw","187","20.97","0","11.43"
"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, braised","204","29.52","0","9.5"
"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw","196","20.58","0","12.68"
"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, braised","174","30.73","0","5.63"
"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean only, trimmed to 1/8"" fat, raw","122","22.49","0","3.53"
"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, cooked, roasted","182","27.18","0","7.27"
"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted","281","24.88","0","19.38"
"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, cooked, roasted","215","27.75","0","10.65"
"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted","226","30.15","0.08","11.64"
"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw","175","21.95","0","9.73"
"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, roasted","215","32.08","0","9.59"
"Lamb, Australian, imported, fresh, loin, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled","219","25.49","0","12.25"
"Lamb, Australian, imported, fresh, loin, separable lean and fat, trimmed to 1/8"" fat, raw","203","19.32","0","13.38"
"Lamb, Australian, imported, fresh, loin, separable lean only, trimmed to 1/8"" fat, raw","146","21","0","6.24"
"Lamb, Australian, imported, fresh, rack, roast, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted","291","25.96","0","20.77"
"Lamb, Australian, imported, fresh, rack, roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, roasted","244","28.01","0","14.64"
"Lamb, Australian, imported, fresh, rack, roast, frenched, denuded, bone-in, separable lean and fat, trimmed to 0"" fat, cooked, roasted","193","25.95","0","9.91"
"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, grilled","305","28.48","0","21.2"
"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, grilled","234","32.16","0","11.68"
"Lamb, Australian, imported, fresh, rib chop, frenched, denuded, bone-in, separable lean and fat, trimmed to 0"" fat, cooked, grilled","276","30.9","0","16.96"
"Lamb, Australian, imported, fresh, rib chop, frenched, denuded, bone-in, separable lean only, trimmed to 0"" fat, cooked, grilled","236","33.17","0","11.5"
"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw","237","21.26","0","16.89"
"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, raw","147","24.07","0","5.59"
"Lamb, Australian, imported, fresh, seam fat, cooked","554","13.81","1.55","54.72"
"Lamb, Australian, imported, fresh, seam fat, raw","459","15.65","0","44.01"
"Lamb, Australian, imported, fresh, separable fat, cooked","639","9.42","0","66.4"
"Lamb, Australian, imported, fresh, separable fat, raw","648","6.27","0","68.87"
"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised","311","29.7","0","20.38"
"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, raw","243","17.06","0","18.89"
"Lamb, Australian, imported, fresh, shoulder, arm, separable lean only,   trimmed to 1/8"" fat, cooked, braised","238","34.17","0","10.23"
"Lamb, Australian, imported, fresh, shoulder, blade, separable lean only, trimmed to 1/8"" fat, raw","164","19.1","0","9.09"
"Lamb, Australian, imported, fresh, shoulder, whole (arm and blade), separable lean only,   trimmed to 1/8"" fat, raw","155","19.36","0","8.01"
"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean only, trimmed to 1/8"" fat, cooked, roasted","184","30.97","0","6.71"
"Lamb, composite of trimmed retail cuts, separable fat, trimmed to 1/4"" fat, choice, cooked","586","12.16","0","59.18"
"Lamb, composite of trimmed retail cuts, separable fat, trimmed to 1/4"" fat, choice, raw","665","6.65","0","70.61"
"Lamb, composite of trimmed retail cuts, separable lean only, trimmed to 1/4"" fat, choice, cooked","206","28.22","0","9.52"
"Lamb, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised","243","28.37","0","13.46"
"Lamb, ground, raw","282","16.56","0","23.41"
"Lamb, leg, shank half, separable lean and fat, trimmed to 1/8"" fat, choice, raw","185","18.99","0","11.5"
"Lamb, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted","258","25.55","0","16.48"
"Lamb, loin, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled","316","25.17","0","23.08"
"Lamb, loin, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted","309","22.55","0","23.59"
"Lamb, loin, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","290","23.27","0","21.12"
"Lamb, New Zealand, imported, brains, cooked, soaked and fried","154","14.03","0","10.92"
"Lamb, New Zealand, imported, brains, raw","118","11.33","0","8.03"
"Lamb, New Zealand, imported, breast, separable lean only, cooked, braised","270","28.16","0","17.53"
"Lamb, New Zealand, imported, breast, separable lean only, raw","149","18.31","1.02","7.98"
"Lamb, New Zealand, imported, chump, boneless, separable lean only, cooked, fast roasted","142","23.69","0","5.27"
"Lamb, New Zealand, imported, flap, boneless, separable lean and fat, cooked, braised","376","20.48","0.14","32.63"
"Lamb, New Zealand, imported, fore-shank, separable lean and fat, cooked, braised","256","30.35","0.03","14.99"
"Lamb, New Zealand, imported, fore-shank, separable lean only, cooked, braised","209","33.31","0","8.4"
"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable fat, cooked","586","9.72","0","60.39"
"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable fat, raw","640","6.92","0","67.63"
"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, cooked","270","25.26","0","17.98"
"Lamb, New Zealand, imported, frozen, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised","258","26.97","0","15.83"
"Lamb, New Zealand, imported, frozen, foreshank, separable lean and fat, trimmed to 1/8"" fat, raw","223","18.04","0","16.15"
"Lamb, New Zealand, imported, frozen, leg, whole (shank and sirloin), separable lean and fat, cooked, roasted","246","24.81","0","15.56"
"Lamb, New Zealand, imported, frozen, leg, whole (shank and sirloin), separable lean only, cooked, roasted","181","27.68","0","7.01"
"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, trimmed to 1/8"" fat, raw","273","17.18","0","22.1"
"Lamb, New Zealand, imported, frozen, rib, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted","317","19.86","0","25.74"
"Lamb, new zealand, imported, frozen, rib, separable lean and fat, trimmed to 1/8"" fat, raw","311","15.87","0","27"
"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, cooked, braised","357","28.21","0","26.27"
"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, cooked, braised","342","29.43","0","24.03"
"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean only, cooked, braised","285","34.06","0","15.5"
"Lamb, New Zealand, imported, heart, cooked, soaked and simmered","161","26.26","0","6.21"
"Lamb, New Zealand, imported, heart, raw","105","18.09","0","3.68"
"Lamb, New Zealand, imported, hind-shank, separable lean only, cooked, braised","196","32.5","0","7.37"
"Lamb, New Zealand, imported, Intermuscular fat, cooked","596","8.53","0","62.44"
"Lamb, New Zealand, imported, Intermuscular fat, raw","640","4.63","1.26","68.53"
"Lamb, New Zealand, imported, kidney, raw","84","15.21","0.03","2.54"
"Lamb, New Zealand, imported, liver, cooked, soaked and fried","168","25.8","1.48","6.56"
"Lamb, New Zealand, imported, liver, raw","136","20.7","2.22","4.92"
"Lamb, New Zealand, imported, loin saddle, separable lean and fat, cooked, fast roasted","274","21.13","0.1","20.98"
"Lamb, New Zealand, imported, loin, boneless, separable lean only, cooked, fast roasted","156","28.99","0","4.49"
"Lamb, New Zealand, imported, neck chops, separable lean only, cooked, braised","264","31.4","0","15.36"
"Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separable lean and fat, cooked, slow roasted","287","21.45","0.05","22.33"
"Lamb, New Zealand, imported, rack - fully frenched, separable lean and fat, cooked, fast roasted","195","23.56","0.01","11.2"
"Lamb, New Zealand, imported, rack - fully frenched, separable lean only, cooked, fast roasted","173","24.39","0","8.38"
"Lamb, New Zealand, imported, rack - partly frenched, separable lean and fat, cooked, fast roasted","253","22.06","0.04","18.29"
"Lamb, New Zealand, imported, square-cut shoulder chops, separable lean and fat, cooked, braised","322","26.79","0.05","23.86"
"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, cooked, slow roasted","294","20.88","0.03","23.39"
"Lamb, New Zealand, imported, subcutaneous fat, cooked","674","5.24","0.62","72.28"
"Lamb, New Zealand, imported, subcutaneous fat, raw","703","3.87","0.55","76.16"
"Lamb, New Zealand, imported, sweetbread, raw","72","11","0","3.16"
"Lamb, New Zealand, imported, tongue - swiss cut, raw","225","14.27","0","18.61"
"Lamb, rib, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled","361","22.13","0","29.59"
"Lamb, rib, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted","359","21.12","0","29.82"
"Lamb, rib, separable lean and fat, trimmed to 1/4"" fat, choice, raw","372","14.52","0","34.39"
"Lamb, rib, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled","340","23.06","0","26.82"
"Lamb, rib, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","341","21.82","0","27.53"
"Lamb, rib, separable lean and fat, trimmed to 1/8"" fat, choice, raw","342","15.32","0","30.71"
"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","337","31.1","0","22.65"
"Lamb, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised","279","35.54","0","14.08"
